candidate_id,RR_um,rr_um,HH_um,LL_mm,alpha_out_1_C,k_out_W_mK,rho_out_kg_m3,alpha_in_1_C,k_in_W_mK,rho_in_kg_m3,E1_MPa,E2_MPa,Tc_C,Delta_C,shape_error,specific_blocking_force_mN_g,peak_stress_ratio,t90_s,feasible
C01,1214.0689027032624,618.2940052511921,219.85969127810367,63.804730487896066,-0.0008684445759051892,1.6571502939430292,1260.3547694545193,0.0007652156234639615,0.6900800213202942,1369.5720922841772,977.1611372067869,88.51077736091226,58.473553121486184,53.78422015141935,0.07575199099988186,34.10845211447143,0.6396577603034199,51.69150633653528,True
C02,1264.0379533568444,1221.034306277979,245.13171947403603,87.19527485887262,-0.00015939081201843972,1.0453436633848254,1053.7534168600132,-0.00031927881652297216,1.7276970726620533,1354.2883854258357,1478.457628530889,0.668474878696358,83.3795250938357,19.10902883064464,0.06372790160031111,40.98857234779972,0.5834110963367836,23.526576152741836,True
C03,820.8281811761451,335.5955817208976,256.91824780894194,32.231284132866634,-0.00036817945845598514,1.671164257865716,1080.048978204043,0.0007940932327818498,1.0577323151359834,1285.3974716064838,1541.6453918212312,48.39090794953566,69.46187558898973,48.94632755981526,0.048710787843274275,42.201621665847874,0.5941405990110951,28.721578405473302,True
C04,933.7659417636614,633.1108671599186,437.6791709922496,48.0376768515721,-0.0002879707304006546,1.56171067606725,1396.6553743582376,0.0007879153925355038,1.5024327257124843,1180.0438057877482,1192.143432207498,56.588435907649945,61.52367769966703,22.488968533028068,0.03386556668638228,38.36524176208426,0.7050893785314513,19.219048589868134,True
C05,1358.375988914598,322.3027961448154,340.8584951095934,73.13885456455704,0.0007113157202046443,0.8263365557089619,1133.843807505159,-0.0005766211241102577,0.7735786134925422,1123.7639210759357,373.4911636509393,16.0133228575203,75.82611494739075,29.79410389189946,0.01843507880192218,28.317098215011086,0.521858506180821,57.52772676596555,True
C06,773.6918106163063,640.305835286749,427.46336293795923,64.41827412253198,0.00030437204137308076,0.7021691727512188,1276.1574202705604,0.0003791452725963578,1.0970937531378022,1076.1616835571563,1280.6130713245104,104.79081745203636,91.83335417807899,8.399352778253263,0.024141463443582346,29.257202170301284,0.623740353531566,37.24324773999312,True
C07,1136.5657769975212,614.735386063624,139.2929246163128,33.89248966412181,-0.0008125077349265006,0.646357488579727,1265.6325134777198,-0.00031593754851906575,1.6074129802632164,1415.84803356262,834.1127237643763,61.25143301313608,72.59509143631621,44.81626834988493,0.05101850642915874,43.314408286212604,0.5274208438809049,22.377814423869218,True
C08,1228.9460503441428,709.7670976495633,148.2189013342308,80.53904646684748,-0.0008519377122866316,1.4628841043396767,1308.7328994362283,-0.0007768000324138001,0.9891409727343639,1020.3252023391362,519.2247822425375,87.80071105478741,53.19319391995029,48.65106647469721,0.020592914903767686,35.90107000136261,0.7558310251538066,24.63792205556244,True
C09,971.5786581590021,825.8809411437235,131.4586263116336,22.421621797135295,-0.0008248932275454627,0.744710175146967,1097.3444009361588,-0.0004995780887576632,1.2838519890976612,1378.7794683068705,307.60792717404905,71.51847670828535,51.63862705099786,21.87930314423213,0.08062453405356447,43.72563635943977,0.6374496514468981,45.82954598186534,True
C10,903.9952613540632,564.4748974817691,213.94611600748192,21.08705208345319,0.0007386720580502026,1.5699501673351999,1105.9291868783364,0.0002926630840439054,1.7296435977422027,1041.0055676965462,604.3373042735461,41.60383035839546,79.33854565939659,21.08089061427915,0.05192928675094309,32.87902823038287,0.5524243533818363,44.5022029457569,True
