scenario,level,method,seed,normalized_HV,feasible_fraction
geometry_tolerance_pct,0,Frank-WT MF-PIRN,1,0.9283503419022575,0.948422100308559
geometry_tolerance_pct,0,Frank-WT MF-PIRN,2,0.9324556555391729,0.9465667664240676
geometry_tolerance_pct,0,Frank-WT MF-PIRN,3,0.9259286539329831,0.9443367782842159
geometry_tolerance_pct,0,Frank-WT MF-PIRN,4,0.9337838769863714,0.9580090083972732
geometry_tolerance_pct,0,Frank-WT MF-PIRN,5,0.9387963686855115,0.9476611790579048
geometry_tolerance_pct,0,Frank-WT MF-PIRN,6,0.9299681104041225,0.9568004699086009
geometry_tolerance_pct,0,Frank-WT MF-PIRN,7,0.9274853298858646,0.9447294134573323
geometry_tolerance_pct,0,Frank-WT MF-PIRN,8,0.9258002726695441,0.9547601048193809
geometry_tolerance_pct,0,Frank-WT MF-PIRN,9,0.9357118324962761,0.9255306918552332
geometry_tolerance_pct,0,Frank-WT MF-PIRN,10,0.9225082933163768,0.9438501477405292
geometry_tolerance_pct,0,Frank-WT MF-PIRN,11,0.9194875625839114,0.9553062804803802
geometry_tolerance_pct,0,Frank-WT MF-PIRN,12,0.9259042551726164,0.9637928991263242
geometry_tolerance_pct,0,Frank-WT MF-PIRN,13,0.9288216347098492,0.94787158038194
geometry_tolerance_pct,0,Frank-WT MF-PIRN,14,0.9270943619473333,0.9287956157460611
geometry_tolerance_pct,0,Frank-WT MF-PIRN,15,0.930358972231347,0.9107532944353862
geometry_tolerance_pct,0,Frank-WT MF-PIRN,16,0.9329400467228633,0.9485855730711547
geometry_tolerance_pct,0,Frank-WT MF-PIRN,17,0.9302809258029807,0.9271859109522471
geometry_tolerance_pct,0,Frank-WT MF-PIRN,18,0.9304279998066984,0.9393959456439872
geometry_tolerance_pct,0,Frank-WT MF-PIRN,19,0.9303677856739546,0.9535440137792244
geometry_tolerance_pct,0,Frank-WT MF-PIRN,20,0.9327560125672157,0.9542982335692042
geometry_tolerance_pct,1,Frank-WT MF-PIRN,1,0.930796013649881,0.9108947094400447
geometry_tolerance_pct,1,Frank-WT MF-PIRN,2,0.9308421112612801,0.9491967327794713
geometry_tolerance_pct,1,Frank-WT MF-PIRN,3,0.9275954562705002,0.9244929350411638
geometry_tolerance_pct,1,Frank-WT MF-PIRN,4,0.924388945126125,0.9184693908372801
geometry_tolerance_pct,1,Frank-WT MF-PIRN,5,0.930147398019696,0.9193910689827984
geometry_tolerance_pct,1,Frank-WT MF-PIRN,6,0.9226308177040559,0.9237355749991397
geometry_tolerance_pct,1,Frank-WT MF-PIRN,7,0.9229201999228391,0.9015883437585801
geometry_tolerance_pct,1,Frank-WT MF-PIRN,8,0.9194646561380727,0.9057642191695204
geometry_tolerance_pct,1,Frank-WT MF-PIRN,9,0.9249423337136393,0.9292196827083365
geometry_tolerance_pct,1,Frank-WT MF-PIRN,10,0.9280785287411196,0.9557002043795559
geometry_tolerance_pct,1,Frank-WT MF-PIRN,11,0.9232583045282965,0.9373807742153468
geometry_tolerance_pct,1,Frank-WT MF-PIRN,12,0.9298085458958297,0.9345267492565547
geometry_tolerance_pct,1,Frank-WT MF-PIRN,13,0.9351312787930929,0.8980001858175136
geometry_tolerance_pct,1,Frank-WT MF-PIRN,14,0.9343224507248556,0.9427631123439746
geometry_tolerance_pct,1,Frank-WT MF-PIRN,15,0.9325499860059703,0.9265833551146321
geometry_tolerance_pct,1,Frank-WT MF-PIRN,16,0.9363204655986954,0.9382278504529973
geometry_tolerance_pct,1,Frank-WT MF-PIRN,17,0.9242383885345561,0.8976545820346056
geometry_tolerance_pct,1,Frank-WT MF-PIRN,18,0.922695828444277,0.9487656491715488
geometry_tolerance_pct,1,Frank-WT MF-PIRN,19,0.9269975142313813,0.8972975140811793
geometry_tolerance_pct,1,Frank-WT MF-PIRN,20,0.9265087447061532,0.919286252005502
geometry_tolerance_pct,2,Frank-WT MF-PIRN,1,0.922445704292919,0.9270555196458911
geometry_tolerance_pct,2,Frank-WT MF-PIRN,2,0.9220696817821727,0.922160838166961
geometry_tolerance_pct,2,Frank-WT MF-PIRN,3,0.9310453657823596,0.9159631543368759
geometry_tolerance_pct,2,Frank-WT MF-PIRN,4,0.9303333156887584,0.9092292341429328
geometry_tolerance_pct,2,Frank-WT MF-PIRN,5,0.9190804370624752,0.9200794599934178
geometry_tolerance_pct,2,Frank-WT MF-PIRN,6,0.9317644660837383,0.905417725449394
