replicate,cycle,force_retention,shape_retention
1,0,0.9936173013820574,1.009734707392854
1,10,0.9958650814317206,0.9960065140700443
1,20,0.9871208030139849,1.0022928869510423
1,30,0.9871774769970978,0.9939833614262138
1,40,0.9862941021993868,0.9938357215947135
1,50,0.9855426769864821,0.9952778165866569
1,60,0.9777098589527438,0.9903028464972508
1,70,0.9846421396165307,0.9899865036398665
1,80,0.983855941438122,0.9886804150665139
1,90,0.9814461981938025,0.982441085660111
1,100,0.9797710674160595,0.9855420152783628
1,110,0.9738611492920591,0.9889256196322677
1,120,0.9771348263175591,0.9896565722036743
1,130,0.974535859204896,0.9856984059134541
1,140,0.97881685326614,0.9864731495879536
1,150,0.9714743627900614,0.9856360612303668
1,160,0.9742604360255452,0.9850015060419338
1,170,0.9695870265588911,0.9793743179706867
1,180,0.9680712745970979,0.985225285367191
1,190,0.9741100907676626,0.9854364397722015
1,200,0.9717251410753198,0.9849491982281193
1,210,0.9643281661841405,0.9741345961880985
1,220,0.9752096268761532,0.9791609921428763
1,230,0.9711581780804813,0.9797021247946178
1,240,0.9700747425798467,0.9793763252291192
1,250,0.9687341504638477,0.98046000160243
1,260,0.9705245636204862,0.9762575034364359
1,270,0.9645821960989313,0.9800631838313654
1,280,0.9647086529057947,0.9760562664290201
1,290,0.9616506190088274,0.9716031666717442
1,300,0.9630785845011715,0.9733159610306852
1,310,0.9713782338185172,0.9772821416505175
1,320,0.9618123418416538,0.9709951847539224
1,330,0.9675871881243047,0.9716853969468868
1,340,0.9674305004826397,0.9696620954463478
1,350,0.9637417961296171,0.974722752686706
1,360,0.9672170470823496,0.9764422624222299
1,370,0.9592603259931471,0.971665249410533
1,380,0.9625541785590033,0.9737251754977402
1,390,0.9632927342666294,0.9739517693983525
1,400,0.9647376906004127,0.9708310662992129
1,410,0.9584907103164884,0.9699197150595988
1,420,0.9575749519442797,0.9720084947283306
1,430,0.9631495366176338,0.9708993588594844
1,440,0.9590951851055063,0.9685401985831896
1,450,0.9586602826351225,0.9673162373597488
1,460,0.9633769878128422,0.9635683161773109
1,470,0.9618109231200468,0.9698824122184271
1,480,0.9526709470207684,0.9693055186576874
1,490,0.9581722531422782,0.9669436298397024
1,500,0.9564875220722056,0.9638110412389743
2,0,1.001455322249001,1.01
2,10,0.9906272104486351,1.0027847091310427
2,20,0.9848433279210614,0.9947060750601082
2,30,0.9830657311392117,0.9942972740505395
2,40,0.9809765489572204,0.9990539732439587
2,50,0.9847227195378977,0.9964361058834037
2,60,0.9823365714432084,0.9902377481465746
2,70,0.9837011938894854,0.997268660568087
2,80,0.9788479769015536,0.9860663944825543
2,90,0.9785923172662664,0.9898955028287494
2,100,0.974179770893123,0.981417667779707
2,110,0.9749641121991574,0.9794885042722813
2,120,0.9773139614385686,0.9863500860289794
2,130,0.9721544173790952,0.9800965481241922
2,140,0.9730306671147939,0.9853523774159757
2,150,0.9804378802668589,0.9854753307288949
2,160,0.9826903019116534,0.9834678817233578
2,170,0.979015895975667,0.9838549403707726
2,180,0.9705184961259213,0.9807503741697199
2,190,0.9705999387123915,0.9844854206502591
2,200,0.9709290896391528,0.9827293907335625
2,210,0.9728373309468157,0.97610101184635
2,220,0.9713617713873232,0.9838572890800747
2,230,0.9646107425420155,0.9777347010669553
2,240,0.9655136736697556,0.9740258561690378
2,250,0.9728578436722309,0.9814759763692991
2,260,0.9700124934640489,0.9801425434399306
2,270,0.966654277045519,0.9753444732387732
2,280,0.9658769523518245,0.9755259235155656
2,290,0.967022475735032,0.9790631133495861
2,300,0.9654042084886153,0.9728139629482079
2,310,0.965467883921013,0.9797798256059327
2,320,0.9636665932536432,0.9756646925639606
2,330,0.9695108181391479,0.9768922837952584
2,340,0.9629655929910513,0.9732749577778836
2,350,0.9621867447910591,0.9727573098392338
2,360,0.9697010863818722,0.9739024065051345
2,370,0.9672833918673263,0.9763213436561516
2,380,0.9642828734871951,0.9649918035168855
2,390,0.9619200457423107,0.9744377087754209
2,400,0.964254750088134,0.9711226999281944
2,410,0.9619631082739618,0.9719343378363627
2,420,0.962253622311032,0.9708698226267144
2,430,0.9538813273383584,0.969638708115384
2,440,0.9622880649146311,0.9711669428702536
2,450,0.9581411072307013,0.970417026076268
2,460,0.9602509003869261,0.9699718091360164
2,470,0.962435096432471,0.9708123427580884
2,480,0.9560245869115434,0.9724950630539887
2,490,0.9588813140739136,0.9655084170239074
2,500,0.9575127853505848,0.9665191583998619
3,0,1.0013821147371074,1.0036224417232906
3,10,0.9911526146557668,1.0054544457881465
3,20,0.982763516392662,0.9992969262428134
3,30,0.9884360064069442,0.993283091234555
3,40,0.9831370923268884,0.9957962130221608
3,50,0.9845877853641085,0.991805623170878
3,60,0.9782092717380995,0.9876093102583321
3,70,0.9779488599088908,0.9898164114787816
3,80,0.9792937671230302,0.9884316787316614
3,90,0.9804534395156362,0.985498159182904
3,100,0.9844166561931622,0.9840877121301098
3,110,0.9747764304824208,0.9854083592006629
3,120,0.9794483381018946,0.9790216802649047
3,130,0.9740917862566641,0.9898899461325075
3,140,0.9790674715021702,0.9842684009609819
3,150,0.9781929788101305,0.9830999795512683
3,160,0.974274443600777,0.9851965989930045
3,170,0.9703998902669577,0.9827330313593488
3,180,0.9695820725840121,0.9854482455758987
3,190,0.9723394422683557,0.9765204506686755
3,200,0.9689505525496033,0.9813026187956229
3,210,0.9711411460370086,0.9800418126031938
3,220,0.9738022884313101,0.9826638597061044
3,230,0.9746052126200998,0.9814212085531407
3,240,0.9684966043909723,0.9824854492048486
3,250,0.9702941523940668,0.9776825482595671
3,260,0.9677620568603835,0.9832538400607813
3,270,0.9657289819882766,0.9735357040292288
3,280,0.970193473610706,0.9812669291880551
3,290,0.9703721185426399,0.9760643638068804
3,300,0.9686057495426736,0.9727631166690092
3,310,0.9678121780482714,0.9773976508144923
3,320,0.9575141235464744,0.9757708054277167
3,330,0.9640364093476834,0.9800620565504766
3,340,0.9629424247745734,0.9760824739680125
3,350,0.9646958360488476,0.9769936590572604
3,360,0.9628468573185475,0.9716641287943274
3,370,0.9578303815998624,0.9723769169096749
3,380,0.9679353075851678,0.9706078766821379
3,390,0.9624255202225256,0.972999279926824
3,400,0.959110380581507,0.9702944203807619
3,410,0.9622606837366982,0.9701463621505191
3,420,0.9603064444849803,0.9750567563520206
3,430,0.9566114076050709,0.9685956895299768
3,440,0.9562278836366492,0.97441584384333
3,450,0.9607374624782402,0.9731118130326311
3,460,0.9632162946795716,0.9618094873453642
3,470,0.9567118054871933,0.9651841429172804
3,480,0.9608142780497123,0.9696195971991027
3,490,0.9604781994827042,0.9660820788750037
3,500,0.9568137990257553,0.9595131352557429
4,0,0.9964858248608871,1.01
4,10,0.9894985653817867,0.9992016000105504
4,20,0.9861454680937088,0.9914069568399502
4,30,0.9893125847149686,0.9944856558405177
4,40,0.9819876559761391,0.9943476486058799
4,50,0.9826815426871635,0.9905843741406701
4,60,0.9772148034073418,0.992879766706413
4,70,0.9782422508109342,0.9903034058049156
4,80,0.9802619191038364,0.9901123966268119
4,90,0.9788945794141442,0.9959774129739102
4,100,0.9791109885295908,0.987006070815524
4,110,0.9824889149886569,0.987598789314162
4,120,0.9775075760603974,0.9887585116690584
4,130,0.976410123768484,0.9877804460541691
4,140,0.9786377451269276,0.9855387274074972
4,150,0.9744213591702844,0.9840760847646278
4,160,0.971201592747492,0.9819855850750911
4,170,0.9721447497953989,0.9829261713897667
4,180,0.9739301607768767,0.9793671099444964
4,190,0.970394638474776,0.9824428828856563
4,200,0.9697186307734108,0.976499651949623
4,210,0.9733890608455152,0.9828791120906547
4,220,0.9671596980457516,0.9783275346744018
4,230,0.9710043009814144,0.9838919984218936
4,240,0.967728417833189,0.9788172171301525
4,250,0.9702227070108048,0.9813582973621833
4,260,0.9648289408884816,0.983108074173326
4,270,0.9690752240977405,0.9737513709580968
4,280,0.9697661216990868,0.9769088627700488
4,290,0.9727838913007733,0.9741906739323984
4,300,0.966442020955278,0.9811718184787527
4,310,0.9650972226970839,0.9775481867896094
4,320,0.9683435571944913,0.9742457601548032
4,330,0.9694980813422555,0.974982269630932
4,340,0.9698156438240687,0.971222877651896
4,350,0.9667986906591175,0.9732285357267291
4,360,0.9642390043143461,0.9750308307189484
4,370,0.9652299156713401,0.9698353359393451
4,380,0.9643679107335305,0.973956954153553
4,390,0.9617860072807131,0.9716455490667236
4,400,0.9615694667996068,0.9726711868526922
4,410,0.9639385483342853,0.9704059323294127
4,420,0.9574884498503657,0.9694167957368568
4,430,0.9596135313162713,0.9705119512308704
4,440,0.9583589719880912,0.9737641372425931
4,450,0.9614822551550836,0.972811976643907
4,460,0.958233713531843,0.96836373769139
4,470,0.9562231083009971,0.9659168965370861
4,480,0.9526289794666384,0.9715389897544828
4,490,0.9558856757358285,0.9632675611417294
4,500,0.9583710647378645,0.9697195406899943
5,0,1.0015899850105767,1.01
5,10,0.9892786403810944,1.0046980770812204
5,20,0.9902223358381118,0.9947293586398738
5,30,0.9887368988092611,0.9896763506137696
5,40,0.9845770464661076,0.9932636873506397
5,50,0.9798821433790605,0.9898086719933067
5,60,0.9825810109293412,0.9947476179025843
5,70,0.9827780271288816,0.9876401278000492
5,80,0.9801464903910748,0.9925973906368909
5,90,0.9808481637455035,0.9922465015891883
5,100,0.9815996526748496,0.9843000363194768
5,110,0.9813024680185721,0.987840527022226
5,120,0.9775254070190159,0.9883304010001871
5,130,0.9787721061992024,0.9855435776417583
5,140,0.9740137982195493,0.9878513114510359
5,150,0.9715909149761582,0.9881649262369216
5,160,0.9720885773777949,0.986081833512366
5,170,0.9717560713944108,0.9874028199133413
5,180,0.972761634190899,0.9867908203602999
5,190,0.9760636796258145,0.9790028203817871
5,200,0.9755128538195044,0.9823755790455623
5,210,0.9697633521294182,0.9815248885941277
5,220,0.9660074495693897,0.9797799042838597
5,230,0.9717335702271243,0.9838044244704316
5,240,0.9640644384261928,0.9845920943801532
5,250,0.9725241036067366,0.9744049225771527
5,260,0.9697324940355169,0.9753089811225137
5,270,0.961609696940248,0.9770610876558237
5,280,0.962523586283696,0.9777694359311667
5,290,0.9672293265228896,0.9748958581394553
5,300,0.9685712215726506,0.9712678964563457
5,310,0.965660922799086,0.9733353076254662
5,320,0.9658505767686955,0.9759441721852309
5,330,0.9572048530183056,0.975572040682363
5,340,0.9617951830817152,0.9756997510811607
5,350,0.9641083888241886,0.969043956318216
5,360,0.9588830745207677,0.9769782756197426
5,370,0.9639595127834336,0.9768462425463418
5,380,0.9607593938725524,0.9734576017159734
5,390,0.9644944031249144,0.9737030584943267
5,400,0.9575865547598548,0.9708863270019983
5,410,0.9637336814950255,0.9684278400699902
5,420,0.9605087552689434,0.9730395867357
5,430,0.9613718177532461,0.9657826512265
5,440,0.9612570110033832,0.9724260690462193
5,450,0.958815003208342,0.9675563995339369
5,460,0.9568632703671025,0.9663055508751479
5,470,0.9633832261436222,0.96852439323511
5,480,0.9582249102929121,0.9634150950104521
5,490,0.9526141371116711,0.9684587778667144
5,500,0.9526679800240895,0.967635807771059
