pair_id,role,shape_error,specific_blocking_force_mN_g,peak_stress_ratio,WT_energy_mJ,Frank_energy_mJ
1,low-force,0.03453551819249399,26.228651244170635,0.6126216923271576,1.1576282504320572,0.18843951131375072
1,high-force,0.033271819447019534,40.28444783791109,0.7364339705263632,1.7455025386470036,0.3842530924702525
2,low-force,0.023043737755005938,27.126298130172536,0.5938980915884184,1.1565265303526533,0.2174718825234803
2,high-force,0.02487657934584032,39.365376638859765,0.6948408692707994,1.6984482079092114,0.3356580422704968
3,low-force,0.037913463790772844,28.343771432733917,0.5655418325130722,1.1329530235780578,0.17600436656480173
3,high-force,0.04044121725802714,39.17063613294385,0.7224650402636814,1.8716339453182633,0.3721944340860338
4,low-force,0.023999904292621776,26.507342546807237,0.6164085206029324,1.1951575172200706,0.19059779236696614
4,high-force,0.020355050217200077,40.06174214813943,0.720647188285994,1.8568662195686623,0.3684248703374476
5,low-force,0.030618571891513575,27.398946026401045,0.5846762355055416,1.0643008627702466,0.1805036386064714
5,high-force,0.029767798901022276,41.14042200022128,0.6800590036325562,1.7873999174150859,0.3738513377501389
6,low-force,0.037645038882629704,26.85667586212203,0.6196623049571067,1.0264617825884568,0.17136945223878314
6,high-force,0.03829158157507735,38.64616547363332,0.715208758785526,1.6537920369729935,0.35629802938916033
7,low-force,0.0458475462668589,28.96571281823561,0.6077404985096597,1.2119710260082002,0.21855238136458316
7,high-force,0.046689013805898336,41.65087717149428,0.7286914487124799,1.877953622488767,0.333600182714713
8,low-force,0.0364846336759395,28.06588371295338,0.5813394060371123,1.038793194722751,0.21600743780028103
8,high-force,0.03567909200679809,40.702773312355106,0.6978595388445461,1.7181178457005455,0.35154530732713646
9,low-force,0.03153850240262922,26.825689832626047,0.5703587074817578,1.13149414122458,0.1997410103643853
9,high-force,0.03509455319772782,39.17401966823908,0.7230726528913017,1.885647716014335,0.3386706607736527
10,low-force,0.05105657196107102,27.50588416836092,0.5603623594293318,1.2367761678089404,0.1709579929247681
10,high-force,0.04962971325600469,41.446376605679006,0.7028884531766064,1.7144626268902847,0.3749105980473334
11,low-force,0.03722116650784031,26.179989341758358,0.5882025646344918,1.0411828526240101,0.20985097563674876
11,high-force,0.036510159874313816,38.77054114806204,0.7216539682236718,1.7089275145249054,0.34409940409054923
12,low-force,0.029755918619829732,29.237121320914177,0.5913431571772036,1.1466260884189388,0.18371309124204163
12,high-force,0.028393674718968035,40.33545939621524,0.6892197479989454,1.89155752353926,0.36002878653670445
13,low-force,0.02450623627114754,28.898342726166504,0.5893668358135952,1.1877084963796896,0.17284373739586031
13,high-force,0.023503939839959912,39.81978988669861,0.711928773427956,1.6788531985237067,0.3668469265432782
14,low-force,0.04877787420413781,27.485309056809264,0.6179322121786867,1.2244800119823516,0.22468622308350472
14,high-force,0.05202696457499694,41.719553221634456,0.6914087816669523,1.7937940682527824,0.32581601394333365
15,low-force,0.04016052834217178,28.089953867407967,0.5621330296531806,1.1981217855416724,0.17762207151576986
15,high-force,0.03646347783331439,40.22607938933686,0.6916484864683339,1.7646145829747875,0.34836016351397375
16,low-force,0.031056522229666008,28.251614406901645,0.5636987107449484,1.185501767136729,0.17259945877292626
16,high-force,0.03152558532579966,39.84663437179882,0.7170333457772224,1.7565465530840823,0.3518192282595634
17,low-force,0.05619105098468802,27.071327868749478,0.6114963662170865,1.117477584782981,0.17718563576515883
17,high-force,0.053532802675427246,40.37775449429225,0.7248114311861569,1.8456893228717313,0.3447656281668831
18,low-force,0.031648684966597014,29.23552486373199,0.5854441643001854,1.1380499906556658,0.1928730451220736
18,high-force,0.03150123874730399,39.41510646917921,0.7398526963752953,1.718987054979467,0.38756308987285754
19,low-force,0.043098446349890185,26.836171278190008,0.6195676612193436,1.164998255337902,0.19424342924082988
19,high-force,0.03791526764565691,41.76040320601685,0.7010237604300464,1.8292371445526205,0.36543519789651685
20,low-force,0.034689734873246066,29.040425634550267,0.6118248070499611,1.184293049683796,0.20775416802658583
20,high-force,0.03623039332211736,40.5740007685466,0.6967312374932474,1.883291321086986,0.33746082913951625
