replicate,temperature_C,DSC_heat_flow_au,storage_modulus_MPa,free_contraction_pct
1,20.0,0.053461523576738265,30.26831330059974,0.03891850172364664
1,21.0,0.05634857470312172,31.463415864952214,0.00958756758756425
1,22.0,0.1031415549357999,30.66893321321173,0.0
1,23.0,0.06699580121620245,31.97411024006038,0.19266469882681464
1,24.0,0.04785732098723517,30.597620087859394,0.18440098362623503
1,25.0,0.06552477161389729,32.03158498937554,0.0
1,26.0,0.06475291141006743,31.567760880488688,0.22028273966928694
1,27.0,0.06529451044603744,30.975303533321505,0.0
1,28.0,0.08428064111180114,32.405173191036454,0.0
1,29.0,0.09619935853745351,30.950073562320263,0.1004981876428943
1,30.0,0.0997664568652818,30.59517596676984,0.24555893093248532
1,31.0,0.049312351614089964,31.37815023284788,0.0
1,32.0,0.005152807749779775,31.164312442051518,0.0
1,33.0,0.03504115064473017,31.707367308335208,0.0
1,34.0,-0.020429886850043807,31.100727555283317,0.5362905695750193
1,35.0,0.034209010274830184,31.77080539566644,0.0
1,36.0,0.01813528353768397,33.20458274477103,0.0
1,37.0,0.04257489570798286,31.18028964853617,0.04783749476800098
1,38.0,0.01606248409041496,30.124431455222872,0.10022729105036907
1,39.0,-0.0005661454505796314,30.10850057605291,0.1651764146739324
1,40.0,-0.027517423848918542,31.51883937601048,0.0
1,41.0,0.027452065978978306,31.3832661887869,0.0
1,42.0,0.008408947103890235,30.503926223759766,0.11460365140534902
1,43.0,-0.0002276516367262088,31.68533190026652,0.011484828469681213
1,44.0,0.019875002314768075,30.8669390726785,0.0
1,45.0,-0.03747379393630956,32.16443721313797,0.06010813544789931
1,46.0,-0.0359232286668253,31.82859461525041,0.2764214085856513
1,47.0,-0.02757737730415959,31.156703776026305,0.2818248770164915
1,48.0,-0.03307149003045921,30.959413936977956,0.11483955368138901
1,49.0,-0.06734247515316524,31.988413893427722,0.5734788319300221
1,50.0,-0.06219426955318175,30.574733171916932,0.3956688972839811
1,51.0,-0.01352240752739647,31.28653617026669,0.28876644537946594
1,52.0,-0.039719094421004644,31.646917444980936,0.4194465855163243
1,53.0,-0.00937055285149354,31.064135528166112,0.4213679325177559
1,54.0,-0.06873775417055696,30.25598540102934,1.0324000917317553
1,55.0,-7.424294081775223e-05,31.46148400258032,0.2625908991094562
1,56.0,-0.06587549570216929,32.022474473205335,1.3746678917324537
1,57.0,-0.0445150603438093,31.049060269999515,0.46853535921480594
1,58.0,-0.03374050800828497,31.59901735081627,0.7242449368788155
1,59.0,-0.10057662659874494,32.87148306991452,0.8454969068903407
1,60.0,-0.048006953082816196,30.30074901133991,1.0529248580645738
1,61.0,-0.05149057315789933,31.75331864540038,1.3557806489775837
1,62.0,-0.05325361552835818,31.616242904860442,1.6551694424677184
1,63.0,0.012319989264413599,31.54076448601913,1.2935930586139286
1,64.0,-0.03235581386296217,30.065304960591213,2.564535947163139
1,65.0,-0.03289411791346215,32.561637774185726,2.1913581761445697
1,66.0,0.0031579189918426592,30.736756734353634,2.2795009311465253
1,67.0,-0.045583405210429515,30.711549443517455,2.692729700044878
1,68.0,-0.0828425954799973,30.763004479907885,2.410289130217512
1,69.0,-0.008405887947114875,30.046505567686147,3.210631692436136
1,70.0,0.012563268992719966,30.071218417278207,3.6351880771003
1,71.0,0.11587856838031457,30.481308434086746,3.7789558537649506
1,72.0,0.07869968170732826,28.69382213948507,4.264492525523793
1,73.0,0.1378586281962733,30.53071865255763,4.3910806614206015
1,74.0,0.20202485188336727,30.639474727219085,4.604753865823997
1,75.0,0.26338926480078717,29.03971269415317,5.677289042934426
1,76.0,0.30316720307560485,29.029179588318485,6.266331139098601
1,77.0,0.37336169571971767,30.82046655184691,6.822419152353419
1,78.0,0.5302911222963785,28.529913781981637,7.409335277365473
1,79.0,0.6317814419045251,29.27306759938063,7.773582362364127
1,80.0,0.7853208543128918,28.17700017331111,8.629109831649828
1,81.0,0.9210987399445368,27.974470867456787,9.711442149762831
1,82.0,1.0569408724031086,27.54817938862806,10.461077068879334
1,83.0,1.1863353964344703,26.3933581043904,11.157126310890133
1,84.0,1.273588439503133,26.069579079570634,12.25786197721357
1,85.0,1.437405935199146,25.58677701049791,12.896174349096873
1,86.0,1.5144305459650895,25.715084028342904,14.261376065633968
1,87.0,1.5771836181923748,23.59545880320542,14.769179818099882
1,88.0,1.6552760002116205,22.183584010972243,15.98834588599467
1,89.0,1.6631619081161797,21.888029142457423,16.65973227751486
1,90.0,1.6725802241686878,20.294549025403203,18.060241877432855
1,91.0,1.6974671003156745,19.612755820700343,18.572791591036935
1,92.0,1.6050160433269602,18.546497298002222,19.531517289379803
1,93.0,1.4563881177953326,16.803740036004914,20.54236762650945
1,94.0,1.3793329138774473,15.275366203127783,20.830592232814148
1,95.0,1.3176222344565458,14.562689215342132,21.54926801634824
1,96.0,1.1130255235317552,12.705086169476806,22.459185838033417
1,97.0,0.9841155092543856,11.723670074200106,23.624214876534985
1,98.0,0.8214815416753994,10.347475398089983,24.065291519824505
1,99.0,0.796725885625749,9.49910598662453,24.435420656834015
1,100.0,0.6576022187287466,8.232654017895095,25.064542858828588
1,101.0,0.5432935948851776,7.648031219362486,26.217903908584635
1,102.0,0.42568901416680266,6.394142163264181,26.255227853138024
1,103.0,0.3132862515494603,5.45018769653442,26.691212250695703
1,104.0,0.3155775181117466,4.861388391968569,27.395837266688318
1,105.0,0.2537827538386278,4.249652543486491,27.867080385284307
1,106.0,0.20009821586019544,3.777896045874692,28.20457165424262
1,107.0,0.14775072932920383,2.978863237511752,27.992754953937126
1,108.0,0.14120846434052498,2.753550175455844,28.69041056818056
1,109.0,0.10851448709825812,2.4287608912953877,28.967813632004656
1,110.0,0.11173609815825326,2.075899040552477,29.54162965295789
1,111.0,0.07171722532206969,1.6532188441498685,29.123992924113978
1,112.0,0.06292604409896768,1.4232413205976377,28.928882608104093
1,113.0,0.07084162096046173,1.2852271403717053,29.553860552646164
1,114.0,0.052431712164550906,1.147784845081413,30.369583841847493
1,115.0,0.08551259102449187,0.9592373964627597,29.756893545356533
1,116.0,0.023633305288405168,0.8297688894464402,30.524174044644344
1,117.0,-0.016102089516483703,0.7323740485496469,30.086212122530952
1,118.0,0.01867318491601598,0.6195587161069616,30.674953819015332
1,119.0,0.041585989733884096,0.5581343189131552,30.369516182326556
1,120.0,-0.002178016792237371,0.47836619210814313,30.90830430184884
1,121.0,-0.03136172567117745,0.43120671845190767,31.118757462932837
1,122.0,-0.002844750730644022,0.4124447331840679,30.96085443160087
1,123.0,0.002509414230979365,0.3680040190953685,31.14372311790621
1,124.0,0.01208585030186129,0.3291166353810769,31.14084762842922
1,125.0,-0.006891112021951765,0.2994617082589035,31.091856548388403
1,126.0,-0.02662010280785239,0.2814987716599948,31.025902507651935
1,127.0,-0.05624999915283618,0.24993737010567266,31.037235071686204
1,128.0,-0.01512066304461953,0.2390893087965087,31.492832772296538
1,129.0,-0.06733858472390891,0.23073811454511506,31.39734163186989
1,130.0,-0.027799390611618832,0.21098405432895173,31.324773286267295
1,131.0,-0.04483635364291281,0.20100461608460723,31.642418067473404
1,132.0,-0.051229781480492974,0.19529051568964573,31.53400887669137
1,133.0,-0.04748150741187791,0.18881793013531195,31.681211808242256
1,134.0,-0.06792522274575306,0.17881847315244886,31.470822867586506
1,135.0,-0.06653904491182172,0.1738806132127072,31.68966978837042
1,136.0,-0.06791771464805095,0.16840090205971062,30.919692770857303
1,137.0,-0.06394750196422425,0.1602277486547572,31.638873731609905
1,138.0,-0.041490130148043036,0.16199025316289814,31.04924885187261
1,139.0,-0.06290222415954266,0.16226871110023172,31.29923639863956
1,140.0,-0.07307805826556019,0.16743695638655148,31.76411773645624
1,141.0,-0.006229388041375725,0.15900479155328137,31.614880685603037
1,142.0,-0.056929451517641984,0.1567072867010378,31.6300337417295
1,143.0,-0.05223552186201142,0.15170989038539218,31.377801950919395
1,144.0,-0.059557796975391,0.15212289709814952,31.32481816938194
1,145.0,-0.03454161251216993,0.15225380511170872,31.688388786890336
1,146.0,-0.09473535674951007,0.16289252988972028,31.09438645425752
1,147.0,-0.027067664839508634,0.15531687130677882,31.181076348361852
1,148.0,-0.02266826177045806,0.14551846959077572,31.39421213216312
1,149.0,-0.05691279895543519,0.15683380878095438,31.55424758572087
1,150.0,-0.030152660321670462,0.15570393428865867,31.733996113437527
2,20.0,0.03712571937836798,30.68161226001273,0.16275821859868153
2,21.0,0.09582109795933887,31.884764662956357,0.4745607733170875
2,22.0,0.08718395315482885,30.413466867565266,0.0
2,23.0,0.03380716653646588,32.2830414195653,0.0
2,24.0,0.058640953030412085,32.007184366485305,0.0
2,25.0,0.08822762358535476,32.133918082205945,0.0
2,26.0,0.08420825086566668,31.421472847310355,0.0
2,27.0,0.06520686138292481,32.10315458369887,0.14419070407846496
2,28.0,0.00045155825520733217,32.490991091475166,0.0
2,29.0,0.06792589872066278,32.4174983609198,0.08700867615029309
2,30.0,0.04404539251819351,31.096634309826733,0.11757515332205351
2,31.0,0.03085919470286059,31.570417384076894,0.02745386475934629
2,32.0,-0.00546499195289657,31.741436465319786,0.1683279014956082
2,33.0,0.005659007195105235,31.10699265831848,0.0
2,34.0,0.0379308296863202,31.841614378772558,0.0
2,35.0,0.023102189567852947,31.944358986225986,0.17714250783534538
2,36.0,0.062312504779590966,31.973498338968977,0.23237268754000542
2,37.0,0.013000976199658544,30.91161693155295,0.5967691133188707
2,38.0,0.026864053921344565,30.988093712639117,0.5216462547408925
2,39.0,-0.02305159454837355,31.21869231421245,0.0
2,40.0,-0.05265879396833519,31.03794933443531,0.10802764484528157
2,41.0,0.03193645846649984,30.48445411545347,0.00881693345429918
2,42.0,-0.0037984064941262476,31.263063218729638,0.0
2,43.0,-0.07458464959489891,31.13802964117222,0.0
2,44.0,0.018427281091348044,31.14385348443538,0.4489786700218477
2,45.0,-0.029964511739538555,32.249375160696815,0.3754631459333656
2,46.0,-0.01086643895417574,29.53479170516777,0.18431571664939606
2,47.0,-0.07207547020978614,29.61451965297539,0.45371453526884487
2,48.0,-0.06511074556762886,30.53585554327847,0.0
2,49.0,-0.054934197096266194,31.218732319192494,0.405201078103343
2,50.0,-0.0363261386135695,32.19079630210317,0.1483932222656125
2,51.0,-0.08252144319016089,30.074244830980952,0.566202163769915
2,52.0,-0.05521807983017701,31.04256811302204,0.5327006841935732
2,53.0,-0.05119208400885948,31.69931540585826,1.096496573972609
2,54.0,-0.0317790580412427,29.38719608543913,0.6929486333176915
2,55.0,-0.0363774587898416,31.342108962856372,0.082520914987395
2,56.0,-0.14814105209797807,31.90566254192532,0.46687591304766046
2,57.0,-0.030743656760449333,31.468624567957328,0.916407605055437
2,58.0,-0.08249062809890406,32.26746315161191,0.9207651279515705
2,59.0,-0.0803058606462827,30.77372459495463,1.028188536475042
