case_id,WT_energy_mJ,Frank_energy_mJ,shape_error,blocking_force_mN,peak_stress_MPa
1,2.346936492734822,0.1879946946972906,0.03730587768710176,38.959474760063394,0.8275039600396834
2,2.0635967786420846,0.26022707694942987,0.05167722055394745,39.414428941893654,0.7657726683626902
3,1.5558025755204068,0.2255610166641538,0.07280598999249616,34.426045078617044,0.6741877028169702
4,1.076885356872727,0.18075635347427824,0.07878539505347332,28.960845440462386,0.6457544201899322
5,1.2662000147968107,0.34986044028423713,0.08026734676773842,35.25662316423805,0.7103290154846461
6,1.7680639513462784,0.33543833864548267,0.06345964702622836,37.59331401286465,0.7665391589871072
7,1.1887225911866677,0.3239502559257338,0.06687134826221264,33.72273760880875,0.6821655219832314
8,0.9829516001739036,0.24400112031533705,0.07929004550531558,32.20952629934715,0.657978519374358
9,2.350345828819812,0.430355255371919,0.037248422083282114,42.0690249173301,0.7765596435708965
10,2.28734135498465,0.4807330986135266,0.040990709473312174,43.09350884716922,0.8912737941469917
11,0.9593263156737166,0.18592451855623107,0.07710842887809537,28.10828737086471,0.6433051086272022
12,1.5103567166141783,0.42905687043695756,0.05829967617628387,36.676881809317265,0.7462910468801958
13,2.227982109366394,0.3535505341847563,0.03870549103460664,40.65664792572608,0.8318102959756472
14,1.108071796180303,0.520352345812286,0.05794005049852322,36.644155897767305,0.733124067317244
15,2.3085250058797095,0.28663855108010394,0.04165565909149775,40.881170062283765,0.8493660353312205
16,1.7493344685184806,0.3765524731415627,0.055514699355237764,36.92723416471702,0.7458553503161499
17,1.9748421329231705,0.09789998836206813,0.04058699796095762,37.50520743895145,0.7341987464012103
18,2.373063873760751,0.17564453267421654,0.05008603046860383,40.86061876760833,0.8164669132053224
19,0.9336297636303321,0.4592362228630761,0.05598763947215126,34.674612559521755,0.7087270871391257
20,0.9203719641700605,0.37250742369058754,0.07098887254407392,32.07887769854534,0.6695361190625722
21,0.8486431036827966,0.10136650512816173,0.08917968738386153,27.24852354422296,0.6106533863339461
22,0.8566302092864734,0.38981184589926293,0.08122919935794629,29.766516382006166,0.6439134493295084
23,1.438240331337592,0.4525493667128262,0.07318118245430769,37.67941966861419,0.747911120382729
24,0.9907679528517367,0.33386931016852206,0.08667467640240466,30.87644479591385,0.6855805244920024
25,0.8837639948093428,0.2835000337613314,0.08678389988482413,30.007634478488388,0.6216980244657071
26,2.256969364573979,0.09348565789907115,0.027547925233046867,40.37046814959973,0.777388029817544
27,1.0735625309707475,0.17066674169459084,0.06018899945322402,30.69953574463529,0.635175035765997
28,1.3028613477279174,0.17510991807925746,0.06960340320190092,32.83227862330628,0.6641543885535021
29,1.0727805854258183,0.44034851547895115,0.06470448376094158,34.271085325575164,0.7105547024919668
30,2.0299001394408176,0.29406847624869553,0.0569390004736986,39.10465049860201,0.8247196562206166
31,2.1399394600486437,0.39019873427071405,0.043894408609717196,40.75970770860997,0.8481762391915246
32,1.399325751929715,0.44064462363145784,0.06157068551732552,35.596537484597164,0.7329030427895923
33,1.4231101423914223,0.4833985682932368,0.057295794187517984,36.28154821997286,0.7537270783260764
34,1.9776694680898805,0.49310064168493273,0.02800078745856526,41.21875777959716,0.7908350491088737
35,1.1343009698651643,0.3658331552241599,0.07598147680870186,32.94637970360598,0.6354424745136313
36,1.6282321220140235,0.4312813340975314,0.04754995834921149,37.62122931386693,0.7210470594386249
37,1.0302823858734338,0.5470431593856815,0.06622549433166756,34.40587730841689,0.7502679697330593
38,1.0358957140896434,0.4113086554843741,0.06376446469935067,32.12175490131243,0.7026205385879362
39,2.2941548733623227,0.40895388260247745,0.028851129689548262,40.403547019799376,0.843135100495
40,1.6990440920558925,0.23189730483323906,0.0695400730202246,37.1257592320689,0.7105425064155185
41,2.0072438218277284,0.3088864976503895,0.047602400614901105,38.21071374468842,0.7990451232143247
42,1.877268740182293,0.22116446153847447,0.06904487847705768,38.500119878147,0.7802193756117397
43,0.8588353135060033,0.14972266123468075,0.09109379823949271,31.45823525915813,0.6156632444859278
44,2.128421139467817,0.4463480103286881,0.03180071409617557,41.90066889130881,0.8459868234383873
45,1.9447992150652686,0.08822044421341657,0.061355948900130325,37.07669503117888,0.7174235229347197
46,1.5986505083760942,0.4738122663702705,0.052308258296996334,37.26549607408521,0.7740884410960931
47,1.5128715644805681,0.12190508467553246,0.06878547937262426,32.467659902746625,0.7056369629355271
48,1.242907279056707,0.215801259687179,0.0711198845472392,32.17734416892401,0.6441751046278354
49,1.0195335203718634,0.4451875195284178,0.06453412149583403,32.1202291430585,0.7093318064815329
50,0.9603048429335406,0.4948708089694697,0.07346379632656327,33.245918268900404,0.6903447094599269
